constituent,sample 1,sample 2,sample 3,sample 4,sample 5,species
Dodecanoic acid,63647125,53363822,42269035,27253154,22631312,SP
Methyl tetradecanoate,243835,145878,84805,2349590,120377,SP
Myristic acid,45831503,36252024,25631582,39928775,38769138,SP
D-Mannose,13138,14942,0,0,15688,SP
Pentadecanoic acid,184968,120230,73358,101953,124406,SP
Palmitoleic acid,431548,297418,175184,217434,342192,SP
Palmitic Acid,14796114,11704215,8230280,11635770,12074669,SP
6-Octadecenoic acid,154603,86874,46521,1050505,63168,SP
Heptadecanoic acid,177855,115473,68685,140767,121549,SP
Linoelaidic acid,3580721,2255222,1345885,3182411,2210647,SP
9-Octadecenoic acid,7769195,6423099,5018195,5414525,6510165,SP
Stearic acid,3073541,1985031,1416095,2221720,1979864,SP
11-Eicosenoic acid,174576,128022,86253,143985,120852,SP
Arachidic acid,160840,85100,53559,114910,85941,SP
Hexadecanedioic acid,21996,23579,7733.3,0,10008,SP
Behenic acid,60852,47297,30647,63245,43468,SP
1-Monooleoylglycerol,238413,134409,99175,136507,126109,SP
Squalene,97082,71319,54680,56434,79492,SP
Lignoceric acid,90022,61791,50872,86725,75498,SP
Pentacosanoic acid,16326,16767,14181,14672,15042,SP
Gamma-Tocopherol,98552,85089,69493,46880,87622,SP
Dodecanoic acid,68697112,65815739,34480755,24341544,27752004,SL
Methyl tetradecanoate,1191460,2490917,5309989,2399824,3461568,SL
Myristic acid,51517088,45595262,22664587,12359952,17827825,SL
D-Mannose,5616,7450.2,0,0,0,SL
Pentadecanoic acid,196696,169143,53488,37436,68889,SL
Palmitoleic acid,1165237,985466,123667,66065,97396,SL
Palmitic Acid,17632179,16577772,9104982,5614998,8509344,SL
6-Octadecenoic acid,808061,1671248,4050884,1967034,3202060,SL
Heptadecanoic acid,198679,161470,105847,55096,105176,SL
Linoelaidic acid,3494227,4140339,2928173,1844057,2160609,SL
9-Octadecenoic acid,8693144,8091715,4926191,3376789,4654239,SL
Stearic acid,2396199,2218943,2244334,1293348,1964988,SL
11-Eicosenoic acid,144802,141222,137276,79163,117827,SL
Arachidic acid,89745,80528,97503,55372,88909,SL
Hexadecanedioic acid,37844,18037,0,0,0,SL
Behenic acid,52794,47956,54364,32161,44047,SL
1-Monooleoylglycerol,156726,393628,113424,56861,70874,SL
Squalene,47174,45291,116041,34668,48022,SL
Lignoceric acid,77775,58624,88323,55786,64000,SL
Pentacosanoic acid,16604,12725,19243,12275,12402,SL
Gamma-Tocopherol,121067,81446,0,0,0,SL